,0,1
488,class_1,52.223.243.92
489,class_1,52.223.229.52
490,class_1,52.223.228.253
491,class_1,52.223.243.27
492,class_1,52.223.246.27
493,class_1,52.223.228.252
494,class_1,52.223.224.147
495,class_1,52.223.243.184
496,class_1,52.223.243.68
497,class_1,52.223.243.110
498,class_1,52.223.246.207
499,class_1,52.223.246.235
500,class_1,52.223.243.91
501,class_1,52.223.244.86
502,class_1,52.223.243.137
503,class_1,52.223.225.94
504,class_1,52.223.229.41
505,class_1,52.223.246.242
506,class_1,52.223.224.79
507,class_1,52.223.243.80
508,class_1,52.223.243.217
509,class_1,52.223.225.100
510,class_1,52.223.243.44
511,class_1,52.223.243.172
512,class_1,52.223.228.207
513,class_1,52.223.243.214
514,class_1,52.223.228.246
515,class_1,52.223.229.42
516,class_1,52.223.243.202
517,class_1,52.223.229.7
518,class_1,52.223.246.154
519,class_1,52.223.244.110
520,class_1,52.223.225.40
521,class_1,52.223.243.34
522,class_1,52.223.243.99
523,class_1,52.223.243.122
524,class_1,52.223.229.27
525,class_1,52.223.243.105
526,class_1,52.223.243.207
527,class_1,52.223.228.245
528,class_1,52.223.228.236
529,class_1,52.223.228.248
530,class_1,52.223.246.4
531,class_1,52.223.243.100
532,class_1,52.223.243.203
533,class_1,52.223.246.159
534,class_1,52.223.243.209
535,class_1,52.223.244.111
536,class_1,52.223.244.153
537,class_1,52.223.243.35
538,class_1,52.223.243.19
539,class_1,52.223.243.194
540,class_1,52.223.229.51
541,class_1,52.223.246.7
542,class_1,52.223.228.165
543,class_1,52.223.243.193
544,class_1,52.223.229.56
545,class_1,52.223.246.230
546,class_1,52.223.246.51
547,class_1,52.223.243.83
548,class_1,52.223.244.152
549,class_1,52.223.243.205
550,class_1,52.223.243.66
551,class_1,52.223.243.213
552,class_1,52.223.246.104
553,class_1,52.223.228.197
554,class_1,52.223.243.45
555,class_1,52.223.243.234
556,class_1,52.223.243.238
557,class_1,52.223.243.90
558,class_1,52.223.243.39
559,class_1,52.223.244.85
560,class_1,52.223.226.249
561,class_1,52.223.243.236
562,class_1,52.223.244.87
563,class_1,52.223.243.180
564,class_1,52.223.225.98
565,class_1,52.223.229.43
566,class_1,52.223.229.28
567,class_1,52.223.243.104
568,class_1,52.223.243.32
569,class_1,52.223.243.38
570,class_1,52.223.243.36
571,class_1,52.223.243.63
572,class_1,52.223.243.226
573,class_1,52.223.243.227
574,class_1,52.223.243.62
575,class_1,52.223.243.58
576,class_1,52.223.243.230
577,class_1,52.223.226.30
578,class_1,99.181.65.12
579,class_1,52.223.225.172
580,class_1,99.181.96.240
581,class_1,52.223.247.241
582,class_1,99.181.96.10
583,class_1,52.223.225.204
584,class_1,99.181.96.81
585,class_1,99.181.96.228
586,class_1,52.223.225.23
587,class_1,52.223.247.236
588,class_1,52.223.248.235
589,class_1,99.181.96.226
590,class_1,99.181.96.26
591,class_1,52.223.243.225
592,class_1,52.223.225.206
593,class_1,52.223.243.51
594,class_1,52.223.243.57
595,class_1,99.181.97.135
596,class_1,52.223.243.240
597,class_1,52.223.243.61
598,class_1,52.223.243.60
599,class_1,52.223.243.224
600,class_1,52.223.243.229
601,class_1,52.223.243.59
602,class_1,52.223.243.49
603,class_1,52.223.243.48
604,class_1,52.223.243.50
605,class_1,52.223.243.37
606,class_1,52.223.243.56
607,class_1,52.223.243.55
608,class_1,52.223.243.228
609,class_1,52.223.243.131
